song_name,segment,rig,intention_corr,hue_error,sat_mae,beat_align_delta
Avicii_-_Levels_-_Radio_Edit,02_intro,rig_c_mixed,0.18029546886431555,0.2020637979837253,0.37828694447879113,1.109684134538702
Avicii_-_Levels_-_Radio_Edit,03_chorus,rig_a_bmfl,0.12121130737417432,0.20809751045664082,0.09076789839400518,179.7223237120935
Avicii_-_Levels_-_Radio_Edit,03_chorus,rig_b_bars,0.20325700610623854,0.22788789399821954,0.10313865936268023,165.83333333333331
Avicii_-_Levels_-_Radio_Edit,03_chorus,rig_c_mixed,0.13422030067046714,0.21913578000518352,0.12840175044422547,153.4313725490196
Avicii_-_Levels_-_Radio_Edit,04_inst,rig_a_bmfl,-0.038433369677592435,0.25531292984489057,0.37193195782508653,43.76461454146874
Avicii_-_Levels_-_Radio_Edit,04_inst,rig_b_bars,0.01260432690265223,0.24900936945934912,0.375097083455796,40.966997264021906
Avicii_-_Levels_-_Radio_Edit,04_inst,rig_c_mixed,-0.02545656866189825,0.2510702562708069,0.38789682024517763,41.954635512741675
Avicii_-_Levels_-_Radio_Edit,05_chorus,rig_a_bmfl,0.34665479335361676,0.21407669179906866,0.15173669294766995,5.4729584141348795
Avicii_-_Levels_-_Radio_Edit,05_chorus,rig_b_bars,0.26999562059376775,0.22699892838514574,0.1962288727433852,4.276263350868824
Avicii_-_Levels_-_Radio_Edit,05_chorus,rig_c_mixed,0.2906191344909577,0.22654970301371444,0.15796575541465585,8.895265423242481
Avicii_-_Levels_-_Radio_Edit,06_inst,rig_a_bmfl,0.30339991792274223,0.23122702325419464,0.21694858197907882,3.0210977449140874
Avicii_-_Levels_-_Radio_Edit,06_inst,rig_b_bars,0.23791886335594076,0.27387448209299775,0.24367853900299405,0.6866161098585719
Avicii_-_Levels_-_Radio_Edit,06_inst,rig_c_mixed,0.23044844334037395,0.2669891917266777,0.281507572850016,1.8309762929562279
Avicii_-_Levels_-_Radio_Edit,07_chorus,rig_a_bmfl,0.2312544167320493,0.17750885412460884,0.23992563623309976,14.285714285714285
Avicii_-_Levels_-_Radio_Edit,07_chorus,rig_b_bars,0.23659115633803846,0.1928206184658898,0.25812523926313735,3.3333333333333215
Avicii_-_Levels_-_Radio_Edit,07_chorus,rig_c_mixed,0.2351999255970443,0.19819224621833523,0.25044092991938155,18.75
Bilderbuch_-_Maschin,01_intro,rig_a_bmfl,-0.0781481948050223,0.01132505128364483,0.0026192367358990574,0.0
Bilderbuch_-_Maschin,01_intro,rig_b_bars,0.06362120868235932,0.0433970349041447,0.003449459126554105,0.0
Bilderbuch_-_Maschin,01_intro,rig_c_mixed,-0.05973823044065945,0.11713059483256384,0.004178329558526704,0.0
Bilderbuch_-_Maschin,02_intro,rig_a_bmfl,0.2495184608933295,0.06512270277891781,0.07033449227975339,9.29781262098335
Bilderbuch_-_Maschin,02_intro,rig_b_bars,0.211671445671249,0.0870172847666513,0.10491793804480723,24.107374918778437
Bilderbuch_-_Maschin,02_intro,rig_c_mixed,0.2043029707186947,0.10091375789989908,0.10766116467759493,25.471380471380478
Bilderbuch_-_Maschin,03_verse,rig_a_bmfl,0.29947626247920234,0.2178444649664821,0.25261621763790526,24.097135740971375
Bilderbuch_-_Maschin,03_verse,rig_b_bars,0.27918456255260266,0.27172452016478643,0.29002020746567986,15.6684392985763
Bilderbuch_-_Maschin,03_verse,rig_c_mixed,0.23920150228503584,0.25179855268734,0.36569046253871024,52.67185367185368
Bilderbuch_-_Maschin,04_verse,rig_a_bmfl,0.38742288296502025,0.12287537969434245,0.0912742695142867,12.628998968008249
Bilderbuch_-_Maschin,04_verse,rig_b_bars,0.3748189474709563,0.19420977274129925,0.13858793673353836,9.597523219814242
Bilderbuch_-_Maschin,04_verse,rig_c_mixed,0.3278060130597266,0.21186495196276475,0.20356594899527308,8.286779007240568
Bilderbuch_-_Maschin,05_chorus,rig_a_bmfl,0.11711290877409297,0.08235823086138849,0.4605112753418111,12.93800539083558
Bilderbuch_-_Maschin,05_chorus,rig_b_bars,0.0982282744765426,0.1006961445099597,0.4649141716154889,5.485866334922944
Bilderbuch_-_Maschin,05_chorus,rig_c_mixed,0.11568219995216164,0.092098627432,0.45042453496291646,56.95526695526696
Bilderbuch_-_Maschin,06_chorus,rig_a_bmfl,0.4149181783376471,0.04347006654926182,0.06610995209643628,30.303030303030297
Bilderbuch_-_Maschin,06_chorus,rig_b_bars,0.39734318957546355,0.0687267029095519,0.16038792741207675,28.62838915470494
Bilderbuch_-_Maschin,06_chorus,rig_c_mixed,0.3534746367309908,0.07522050896423788,0.2458528876769325,66.15067079463364
Billie_Eilish_-_Therefore_I_Am,02_chorus,rig_a_bmfl,0.1778144073201085,0.3103421363818957,0.3601132418648803,4.732394366197194
Billie_Eilish_-_Therefore_I_Am,02_chorus,rig_b_bars,0.1659445452553285,0.35478673269632105,0.3697738603952619,1.695495495495492
Billie_Eilish_-_Therefore_I_Am,02_chorus,rig_c_mixed,0.14795776968044927,0.3411660348010292,0.41561664152478933,5.328767123287675
Billie_Eilish_-_Therefore_I_Am,03_verse,rig_a_bmfl,0.26327503736262453,0.28935271763266396,0.4518383961097668,2.4767801857585052
Billie_Eilish_-_Therefore_I_Am,03_verse,rig_b_bars,0.2387712758036846,0.33697454053273795,0.45070828618613645,0.6819274212929377
Billie_Eilish_-_Therefore_I_Am,03_verse,rig_c_mixed,0.23113585088826522,0.3139095047239238,0.4697828746649579,13.684210526315779
Billie_Eilish_-_Therefore_I_Am,04_chorus,rig_a_bmfl,0.24752496827610188,0.16091500054289135,0.16776601332445382,7.151515151515139
Billie_Eilish_-_Therefore_I_Am,04_chorus,rig_b_bars,0.22319925521773248,0.24918319611386056,0.20358454884844462,10.187025131502034
Billie_Eilish_-_Therefore_I_Am,04_chorus,rig_c_mixed,0.18389094362877306,0.24750493034322638,0.2857192489253107,0.30651340996167953
Billie_Eilish_-_Therefore_I_Am,05_verse,rig_a_bmfl,0.4267269529602512,0.09195033037902473,0.08537888320889085,57.641518145719836
Billie_Eilish_-_Therefore_I_Am,05_verse,rig_b_bars,0.40499000989041,0.2001310074268658,0.0964053837985456,60.04142011834319
Billie_Eilish_-_Therefore_I_Am,05_verse,rig_c_mixed,0.3739112073788281,0.20456390434262678,0.14591920614130047,61.07862035521611
Billie_Eilish_-_all_the_good_girls_go_to_hell,01_start,rig_a_bmfl,0.20322985087521928,0.01564798166090799,0.011254800094123664,0.0
Billie_Eilish_-_all_the_good_girls_go_to_hell,01_start,rig_b_bars,0.2892923385846111,0.018030274669494396,0.021017137933855835,0.0
Billie_Eilish_-_all_the_good_girls_go_to_hell,01_start,rig_c_mixed,0.2377825847746705,0.019620617930517007,0.011257285477306323,0.0
Billie_Eilish_-_all_the_good_girls_go_to_hell,02_intro,rig_a_bmfl,0.07436712331488562,0.052719513675931175,0.026991775777504057,0.0
